Código,Disciplina,Unidade 1,Unidade 2,Unidade 3,Unidade 4,Unidade 5,Prova Final,Resultado,Faltas,Situação
DC/CCN029,CIRCUITOS DIGITAIS,"10,0","8,7","8,4",,,,"9,0",2,AM
DC/CCN030,TEORIA DA COMPUTAÇÃO,"6,2","4,3","8,2",,,"8,0","7,1",12,EF
DC/CCN030,TEORIA DA COMPUTAÇÃO,"3,2","7,6","3,8",,,"8,5","6,7",10,EF
DC/CCN030,TEORIA DA COMPUTAÇÃO,"6,4","4,7","1,0",,,"7,0","5,5",6,RN
DC/CCN030,TEORIA DA COMPUTAÇÃO,"9,5","6,0","9,8",,,,"8,4",12,AM
DC/CCN030,TEORIA DA COMPUTAÇÃO,"0,0","0,0","0,0",,,,"0,0",18,RF
DC/CCN030,TEORIA DA COMPUTAÇÃO,"6,5","7,0","10,0",,,,"7,8",12,AM
DC/CCN030,TEORIA DA COMPUTAÇÃO,"3,3","5,3","0,5",,,,"3,0",6,RN
DC/CCN031,ARQUITETURA DE COMPUTADORES,"8,3","7,0","7,5",,,,"7,6",10,AM
DC/CCN031,ARQUITETURA DE COMPUTADORES,"7,0","7,5","0,0",,,"0,0","2,4",0,RN
DC/CCN031,ARQUITETURA DE COMPUTADORES,"7,0","6,5","6,5",,,"7,0","6,9",0,EF
DC/CCN031,ARQUITETURA DE COMPUTADORES,"6,8","7,0","7,5",,,,"7,1",0,AM
DC/CCN031,ARQUITETURA DE COMPUTADORES,"7,0","0,0","0,0",,,,"2,3",0,RN
DC/CCN031,ARQUITETURA DE COMPUTADORES,"7,0","0,0","0,0",,,,"2,3",0,RN
DC/CCN031,ARQUITETURA DE COMPUTADORES,"6,8","7,0","7,5",,,,"7,1",2,AM
DC/CCN032,COMPUTAÇÃO GRÁFICA,"8,7","8,4","9,0",,,,"8,7",10,AM
DC/CCN032,COMPUTAÇÃO GRÁFICA,"9,6","5,3","7,5",,,,"7,5",13,AM
DC/CCN032,COMPUTAÇÃO GRÁFICA,"8,0","7,0","10,0",,,,"8,3",10,AM
DC/CCN032,COMPUTAÇÃO GRÁFICA,"7,6","6,7","9,0",,,,"7,8",10,AM
DC/CCN033,SISTEMAS OPERACIONAIS,"10,0","8,5","10,0",,,,"9,5",12,AM
DC/CCN033,SISTEMAS OPERACIONAIS,"4,0","9,0","9,0",,,,"7,3",6,AM
DC/CCN033,SISTEMAS OPERACIONAIS,"9,0","10,0","10,0",,,,"9,7",10,AM
DC/CCN033,SISTEMAS OPERACIONAIS,"8,0","8,5","9,0",,,,"8,5",10,AM
DC/CCN034,PROGRAMAÇÃO LINEAR,"7,0","6,0","9,2",,,,"7,4",0,AM
DC/CCN034,PROGRAMAÇÃO LINEAR,"8,0","6,0","9,2",,,,"7,7",0,AM
DC/CCN034,PROGRAMAÇÃO LINEAR,"8,3","6,0","9,2",,,,"7,8",0,AM
DC/CCN034,PROGRAMAÇÃO LINEAR,"5,0","7,5","6,4",,,"7,5","6,9",0,EF
DC/CCN035,REDES DE COMPUTADORES,"8,0","7,7","6,6",,,,"7,4",6,AM
DC/CCN035,REDES DE COMPUTADORES,"3,7","6,6","6,9",,,"6,3","6,0",2,EF
DC/CCN035,REDES DE COMPUTADORES,"6,5","7,7","7,5",,,,"7,2",0,AM
DC/CCN035,REDES DE COMPUTADORES,"7,5","8,0","7,8",,,,"7,8",6,AM
DC/CCN036,PROJETO E ANÁLISE DE ALGORITMOS,"5,3","9,3","7,4",,,,"7,3",6,AM
DC/CCN036,PROJETO E ANÁLISE DE ALGORITMOS,"5,0","7,0","5,9",,,"6,0","6,0",6,EF
DC/CCN036,PROJETO E ANÁLISE DE ALGORITMOS,"5,3","6,9","8,7",,,,"7,0",12,AM
DC/CCN036,PROJETO E ANÁLISE DE ALGORITMOS,"6,3","8,3","7,6",,,,"7,4",6,AM
DC/CCN037,PROCESSAMENTO DIGITAL DE IMAGENS,"4,2","6,3","7,3",,,"6,0","6,0",8,EF
DC/CCN037,PROCESSAMENTO DIGITAL DE IMAGENS,"8,0","7,2","8,0",,,,"7,7",10,AM
DC/CCN037,PROCESSAMENTO DIGITAL DE IMAGENS,"6,0","8,4","7,6",,,,"7,3",12,AM
DC/CCN037,PROCESSAMENTO DIGITAL DE IMAGENS,"7,7","7,0","9,2",,,,"8,0",10,AM
DC/CCN038,SISTEMAS DISTRIBUÍDOS,"8,5","9,0","10,0",,,,"9,2",12,AM
DC/CCN038,SISTEMAS DISTRIBUÍDOS,"8,5","8,5","7,0",,,,"8,0",12,AM
DC/CCN038,SISTEMAS DISTRIBUÍDOS,"8,0","10,0","9,0",,,,"9,0",14,AM
DC/CCN038,SISTEMAS DISTRIBUÍDOS,"9,0","10,0","10,0",,,,"9,7",14,AM
DC/CCN039,ENGENHARIA DE SOFTWARE I,"6,5","4,0","3,7",,,"6,3","5,5",11,RN
DC/CCN039,ENGENHARIA DE SOFTWARE I,"7,0","10,0","8,3",,,,"8,4",12,AM
DC/CCN039,ENGENHARIA DE SOFTWARE I,"7,8","6,5","6,7",,,,"7,0",10,AM
DC/CCN039,ENGENHARIA DE SOFTWARE I,"8,2","8,5","6,5",,,,"7,7",12,AM
DC/CCN039,ENGENHARIA DE SOFTWARE I,"7,2","8,0","7,5",,,,"7,6",11,AM
DC/CCN040,SEGURANÇA EM SISTEMAS,"2,4","5,8","4,8",,,"0,0","2,2",8,RN
DC/CCN040,SEGURANÇA EM SISTEMAS,"6,0","7,6","7,3",,,,"7,0",12,AM
DC/CCN040,SEGURANÇA EM SISTEMAS,"9,3","8,5","8,1",,,,"8,6",14,AM
DC/CCN040,SEGURANÇA EM SISTEMAS,"4,4","2,6","9,1",,,"6,5","6,0",14,EF
DC/CCN040,SEGURANÇA EM SISTEMAS,"6,3","8,8","8,8",,,,"8,0",12,AM
DC/CCN041,INTELIGÊNCIA ARTIFICIAL,"5,8","7,0","10,0",,,,"7,6",8,AM
DC/CCN041,INTELIGÊNCIA ARTIFICIAL,"8,0","9,5","3,6",,,,"7,0",14,AM
DC/CCN041,INTELIGÊNCIA ARTIFICIAL,"8,9","7,0","7,4",,,,"7,8",8,AM
DC/CCN041,INTELIGÊNCIA ARTIFICIAL,"7,1","7,1","8,5",,,,"7,6",6,AM
DC/CCN042,COMPILADORES,"8,9","6,4","6,7",,,,"7,3",12,AM
DC/CCN042,COMPILADORES,"9,6","5,8","6,9",,,,"7,4",13,AM
DC/CCN042,COMPILADORES,"2,9","3,5","10,0",,,"3,8","4,7",14,RN
DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO,"7,1","5,8","8,8",,,,"7,2",10,AM
DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO,"5,1","4,4","3,5",,,"4,0","4,2",12,RN
DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO,"4,7","7,4","5,1",,,"0,0","2,9",14,RN
DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO,"10,0","10,0","10,0",,,,"10,0",0,AM
DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO,"10,0","10,0","10,0",,,,"10,0",0,AM
DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO,"4,5","8,5","6,7",,,"8,8","7,7",14,EF
DC/CCN044,ENGENHARIA DE SOFTWARE II,"9,5","9,0","9,0",,,,"9,2",2,AM
DC/CCN044,ENGENHARIA DE SOFTWARE II,"9,5","9,0","9,0",,,,"9,2",4,AM
DC/CCN044,ENGENHARIA DE SOFTWARE II,"10,0","8,0","8,5",,,,"8,8",6,AM
DC/CCN044,ENGENHARIA DE SOFTWARE II,"7,0","6,5","8,5",,,,"7,3",15,AM
DC/CCN045,BANCOS DE DADOS RELACIONAIS,"4,4","10,0","10,0",,,,"8,1",8,AM
DC/CCN045,BANCOS DE DADOS RELACIONAIS,"7,8","4,8","8,5",,,,"7,0",2,AM
DC/CCN055,FLUXOS EM REDES,"7,0","10,0","1,3",,,"5,9","6,0",0,EF
DC/CCN057,REDES NEURAIS ARTIFICIAIS,"3,0","5,0","0,0",,,,"2,7",0,RN
DC/CCN058,SISTEMAS EMBARCADOS,"8,0","6,0","10,0",,,,"8,0",6,AM
DC/CCN058,SISTEMAS EMBARCADOS,"9,8","6,0","10,0",,,,"8,6",6,AM
DC/CCN058,SISTEMAS EMBARCADOS,"5,5","9,0","6,7",,,,"7,1",8,AM
DC/CCN061,PROCESSAMENTO DE LINGUAGEM NATURAL,"7,1","9,4","10,0",,,,"8,8",10,AM
DC/CCN061,PROCESSAMENTO DE LINGUAGEM NATURAL,"8,7","8,0","8,5",,,,"8,4",8,AM
DC/CCN064,REDES DE COMUNICAÇÃO SEM FIO,"7,7","7,0","8,5",,,,"7,7",0,AM
