AlunoID,Código,Unidade 1,Unidade 2,Unidade 3,Unidade 4,Unidade 5,Prova Final,Resultado,Faltas,Situação
3,DC/CCN050,"8,7","9,0","9,5",,,,"9,1",0,AM
3,DC/CCN048,"5,5","3,0","9,3",,,"6,8","6,4",8,AM
3,DC/CCN067,"6,0","10,0","7,0",,,,"7,7",8,AM
3,DC/CCN047,"9,5","9,5","9,5","9,5","9,5",,"9,5",0,AM
3,DC/CCN067,"8,3","7,0","0,0",,,"9,4","7,2",14,AM
3,DC/CCN046,"10,0","10,0","10,0",,,,"10,0",0,AM
3,DC/CCN041,"6,1","5,5","9,3",,,,"7,0",12,AM
3,DC/CCN037,"8,0","8,2","5,8",,,,"7,3",8,AM
3,DC/CCN034,"6,0","7,0","10,0",,,,"7,7",0,AM
3,DEFE/CCE007,"9,0","9,0","9,0",,,,"9,0",0,AM
3,DC/CCN045,"10,0","10,0","8,0",,,,"9,3",2,AM
3,DC/CCN042,"8,0","6,5","7,3",,,,"7,3",6,AM
3,DC/CCN032,"8,5","7,7","9,9",,,,"8,7",4,AM
3,DC/CCN044,"9,6","7,0","7,8",,,,"8,1",6,AM
3,DC/CCN043,"7,5","4,8","7,5",,,"8,9","7,8",8,AM
3,DC/CCN040,"6,8","4,7","7,9",,,"3,6","5,0",4,RN
3,DC/CCN038,"5,3","5,2","8,0",,,"6,0","6,1",4,AM
3,DMAT/CCN034,"8,2","9,6","7,0",,,,"8,3",0,AM
3,DC/CCN039,"6,0","6,0","10,0",,,,"7,3",8,AM
3,CGBEST/CCN013,"10,0","9,9","9,4",,,,"9,8",0,AM
3,DC/CCN036,"6,0","9,2","8,3",,,,"7,8",12,AM
3,DC/CCN035,"9,0","6,7","8,7",,,,"8,1",4,AM
3,DC/CCN033,"9,0","7,2","6,1",,,,"7,4",14,AM
3,DC/CCN030,"4,9","8,1","8,0",,,,"7,0",6,AM
3,DC/CCN031,"7,5","6,0","7,5",,,,"7,0",0,AM
3,DC/CCN025,"10,0","9,5","10,0",,,,"9,8",0,AM
3,DMAT/CCN033,"9,4","5,0","10,0",,,,"8,1",0,AM
3,DC/CCN027,"7,4","7,7","9,0",,,,"8,0",12,AM
3,CGBEST/CCN013,"6,4","4,4","6,6",,,"5,6","5,7",14,RN
3,DC/CCN028,"10,0","6,0","9,0",,,,"8,3",0,AM
3,DMAT/CCN032,"9,8","9,1","6,4",,,,"8,4",0,AM
3,DC/CCN029,"9,5","3,0","10,0",,,,"7,5",0,AM
3,DC/CCN022,"8,0","9,1","7,0",,,,"8,0",13,AM
3,DC/CCN024,"10,0","9,3","8,3",,,,"9,2",8,AM
3,DMAT/CCN035,"7,0","7,0","7,0",,,,"7,0",0,AM
3,DC/CCN023,"9,0","8,5","10,0",,,,"9,2",0,AM
3,DMAT/CCN032,"7,0","3,0","9,0",,,"3,9","5,1",0,RN
3,DC/CCN021,"8,5","6,0","8,0",,,,"7,5",2,AM
3,CLE/CCHL002,"7,0","8,0","8,1",,,,"7,7",0,AM
3,DC/CCN019,"6,0","9,0","5,9",,,,"7,0",11,AM
3,DFIL/CCHL009,"9,0","9,0","7,0",,,,"8,3",8,AM
3,DC/CCN026,"5,3","3,0","7,2",,,"9,1","7,2",10,AM
3,DC/CCN020,"9,0",,,,,,"9,0",2,AM
4,DC/CCN043,"9,0","6,2","6,2",,,,"7,1",10,AM
4,DC/CCN067,"10,0","10,0","10,0",,,,"10,0",10,AM
4,DC/CCN071,"8,0","8,6","7,0",,,,"7,9",6,AM
4,DC/CCN073,"8,0","6,6","4,0",,,"5,1","5,6",0,RN
4,DC/CCN081,"7,8","3,2","8,5",,,"6,1","6,3",0,AM
4,DC/CCN045,"7,7","5,6","8,0",,,,"7,1",2,AM
4,DC/CCN055,"9,5","10,0","10,0",,,,"9,8",0,AM
4,DC/CCN041,"4,8","1,2","8,0",,,"8,6","6,6",4,AM
4,DC/CCN061,"7,7","9,0","8,5",,,,"8,4",4,AM
4,DC/CCN037,"10,0","4,4","7,4",,,,"7,3",4,AM
4,DEFE/CCE007,"9,0","8,0","10,0",,,,"9,0",4,AM
4,DC/CCN038,"7,0","7,5","10,0",,,,"8,2",10,AM
4,DC/CCN042,"7,2","5,8","8,3",,,,"7,1",0,AM
4,DC/CCN032,"6,0","6,3","7,0",,,"3,9","5,2",6,RN
4,DC/CCN044,"6,0","9,0","8,0",,,,"7,7",0,AM
4,DC/CCN034,"7,3","10,0","8,5",,,,"8,6",0,AM
4,DC/CCN040,"3,6","5,7","9,1",,,"6,7","6,4",0,AM
4,DC/CCN074,"9,9","10,0","10,0",,,,"10,0",10,AM
4,DMAT/CCN034,"8,5","7,5","2,0",,,"6,4","6,2",0,AM
4,DC/CCN039,"8,2","10,0","7,5",,,,"8,6",4,AM
4,DC/CCN036,"7,5","8,5","7,0",,,,"7,7",4,AM
4,DC/CCN035,"7,3","8,7","8,7",,,,"8,2",0,AM
4,DC/CCN033,"9,5","4,5","9,0",,,,"7,7",14,AM
4,DC/CCN030,"8,2","3,8","5,7",,,"7,5","6,7",4,AM
